Player,Position,Team,Salary
Chris Wright,SF,Oklahoma City Thunder,0.980431
Lou Amundson,PF,New York Knicks,0.980431
Greg Stiemsma,C,Portland Trail Blazers,0.980431
Henry Sims,C,Utah Jazz,0.980431
Jordan Farmar,PG,Sacramento Kings,0.980431
Jarnell Stokes,PF,Denver Nuggets,0.980431
Will Bynum,PG,Atlanta Hawks,0.980431
Ivan Rabb,PF,Memphis Grizzlies,0.95
Rade Zagorac,SF,Memphis Grizzlies,0.95
Ike Anigbogu,C,Indiana Pacers,0.95
Reggie Williams,SF,New Orleans Pelicans,0.895197
D.J. Stephens,SG,Memphis Grizzlies,0.874636
D.J. Kennedy,SG,Memphis Grizzlies,0.874636
Branden Dawson,SF,Orlando Magic,0.874636
Casper Ware,PG,,0.874636
J.J. O\'Brien,SF,Milwaukee Bucks,0.874636
Grant Jerrett,PF,Portland Trail Blazers,0.874636
Christian Wood,PF,Charlotte Hornets,0.874636
Duje Dukan,PF,Sacramento Kings,0.874636
Cliff Alexander,PF,New Orleans Pelicans,0.874636
Gerald Green,SG,Houston Rockets,0.872854
Xavier Rathan-Mayes,SG,Memphis Grizzlies,0.815615
Dillon Brooks,SF,Memphis Grizzlies,0.815615
Alex Hamilton,SG,Golden State Warriors,0.815615
Sterling Brown,SG,Milwaukee Bucks,0.815615
Alfonzo McKinnie,SF,Toronto Raptors,0.815615
Dwayne Bacon,SF,Charlotte Hornets,0.815615
T.J. Williams,PG,Charlotte Hornets,0.815615
Terry Henderson,SG,Charlotte Hornets,0.815615
Luke Petrasek,SF,Charlotte Hornets,0.815615
Royce O\'Neale,SF,Utah Jazz,0.815615
Daniel Theis,PF,Boston Celtics,0.815615
L.J. Peak,SG,Boston Celtics,0.815615
Tyler Dorsey,SG,Atlanta Hawks,0.815615
Jordan Mathews,SG,Atlanta Hawks,0.815615
Trey Burke,PG,New York Knicks,0.78416
Alex Poythress,SF,Indiana Pacers,0.778668
Dwight Buycks,PG,Detroit Pistons,0.74816
Tyler Cavanaugh,PF,Atlanta Hawks,0.679919
Emeka Okafor,C,New Orleans Pelicans,0.59203
DeAndre Liggins,SG,Milwaukee Bucks,0.58812
